R,c,t,beta,tc
5,5.38,5.38,25,100
5.5,5.43323281808614,5.38,25,99.0202367564861
6,5.48646563617228,5.38,25,98.0594859563075
6.5,5.53969845425842,5.38,25,97.1171995086544
7,5.59293127234457,5.38,25,96.1928501893551
7.5,5.64616409043071,5.38,25,95.2859306572083
8,5.69939690851685,5.38,25,94.3959525254407
8.5,5.75262972660299,5.38,25,93.5224454847186
9,5.80586254468913,5.38,25,92.6649564744056
9.5,5.88506259453673,5.38,25,91.4178891656039
10,5.91232818086142,5.38,25,90.9963018868845
10.5,5.94211322811993,5.38,25,90.5401797889035
11,5.97415094168659,5.38,25,90.0546379312129
11.5,6.00817452693573,5.34757986416847,25,89.0050686809164
12,6.04391718924168,5.28915410801244,25,87.5120214656028
12.5,6.08111213397877,5.22904880697124,25,85.9883635059687
13,6.11949256652133,5.16741182342041,25,84.4418351235594
13.5,6.15879169224369,5.10438555628054,24.9669588437572,82.8796590524232
14,6.19874271652018,5.04010705584976,24.2943825380816,81.3085376558288
14.5,6.23907884472513,4.9747081375108,23.6436171864419,79.7346573319345
15,6.27953328223287,4.90831549431237,23.0137384461083,78.1636990156548
15.5,6.31983923441773,4.84105080842491,22.4038473224933,76.600853737871
16,6.35972990665403,4.77303086147089,21.8130717720984,75.0508422767605
16.5,6.39893850431611,4.70436764372938,21.240567811925,73.5179380229434
17,6.43719872151328,4.63516846221516,20.6855202188624,72.0059868079621
17.5,6.47429897676235,4.56553604763211,20.1471150799626,70.517843924397
18,6.51013167721874,4.49556866020116,19.6246582572615,69.0549574585833
18.5,6.54460086357762,4.42536019436251,19.1173852492764,67.6184886841729
19,6.57761057653417,4.3550002823524,18.6245973592526,66.2094575481407
19.5,6.60906485678356,4.28457439665415,18.1456241594428,64.8287539841049
20,6.63886774502098,4.21416395132376,17.6798228949954,63.4771487123583
20.5,6.66692328194161,4.14384640218979,17.2265778719481,62.1553035328012
21,6.69313550824061,4.07369534592779,16.7852997897173,60.8637811219008
21.5,6.71740846461318,4.00378061800898,16.3554250410306,59.6030543490187
22,6.73964619175449,3.9341683895235,15.9364149961999,58.3735151310568
22.5,6.75975273035972,3.86492126287799,15.5277552870805,57.1754828474667
23,6.77642541044793,3.79609836636757,15.1289551041202,56.0191861702591
23.5,6.77642541044793,3.72775544762232,14.7395465150167,55.0106467913724
24,6.77642541044793,3.65994496592805,14.3590838151928,54.00996460885
24.5,6.77642541044793,3.5927161834216,13.9871429145784,53.0178665861551
25,6.77642541044793,3.52611525516047,13.6233207664929,52.0350338354479
25.5,6.77642541044793,3.46018531806694,13.2672348412907,51.0621029301379
26,6.77642541044793,3.3949665787465,12.9185226459392,50.0996672008243
26.5,6.77642541044793,3.33049640018081,12.576841289818,49.1482780146275
27,6.77642541044793,3.26680938729497,12.2418670946994,48.2084460379094
27.5,6.77642541044793,3.20393747139929,11.9132952460438,47.2806424823837
28,6.77642541044793,3.14190999350541,11.59083948035,46.3653003346158
28.5,6.77642541044793,3.08075378651685,11.2742318026416,45.4628155689123
29,6.77642541044793,3.02049325629402,10.96324241954,44.5735483436003
29.5,6.77642541044793,2.96115046159356,10.6576007758423,43.6978241806962
30,6.77642541044793,2.90274519288215,10.3570634227208,42.8359351289647
30.5,6.77642541044793,2.84529505002474,10.06147861006,41.9881409103663
31,6.77449205847024,2.78881551884716,9.77068574891712,41.1664150577941
31.5,6.75808876751374,2.73332004657314,9.48451776707749,40.445163427155
32,6.74000068859614,2.67882011613579,9.20282405254528,39.7451015200675
32.5,6.72026480875393,2.62532531936345,8.92547016289604,39.0658016324544
33,6.69891811502356,2.57284342903999,8.65233733743487,38.4068499549191
33.5,6.67599759444149,2.52138046983945,8.38332186924394,37.767845691538
34,6.6515402340442,2.47094078813521,8.11833440654188,37.1484002380131
34.5,6.62558302086814,2.42152712068345,7.85729913848089,36.5481364139055
35,6.5981629419498,2.37314066218112,7.60015289108104,35.9666877441473
35.5,6.56931698432562,2.32578113169827,7.34684412691407,35.4036977854408
36,6.53908213503207,2.27944683798482,7.0972472152446,34.8588194935349
36.5,6.50749538110563,2.2341347436517,6.85155734443834,34.3317146276962
37,6.47459370958276,2.18984052822648,6.60957053592516,33.8220531889961
37.5,6.44041410749992,2.14655865008333,6.37114136350255,33.3295128892977
38,6.40499356189358,2.10428240724748,6.13668487281729,32.8537786480673
38.5,6.3683690598002,2.06300399707397,5.90568006070746,32.3945421143463
39,6.33057758825625,2.02271457480098,5.67866146950298,31.9515012114106
39.5,6.29165613429819,1.98340431097741,5.45525017956218,31.524359701814
40,6.2516416849625,1.94506244776497,5.23529262211466,31.1128267706635
40.5,6.21057122728563,1.90767735411468,5.01940730135945,30.7166166251094
41,6.16848174830405,1.87123657981772,4.80711041648695,30.3354481081539
41.5,6.12541023505423,1.8357269084308,4.59847892861911,29.9690443249887
42,6.08139367457264,1.80113440907579,4.39353095346232,29.6171322801655
42.5,6.03646905389573,1.76744448711396,4.19226496670823,29.2794425239919
43,6.03654439179232,1.73464193369442,3.99467120570468,28.7356775848937
43.5,5.97223861867458,1.70271097417717,3.80073478675518,28.5104310610257
44,5.90908765151479,1.6716353154304,3.61043647426077,28.2892286257063
44.5,5.84705177588673,1.64139819200234,3.423752835441,28.0722363152567
45,5.78609455642958,1.6119824111674,3.24065627872269,27.859593296417
45.5,5.72618255313447,1.58337039684686,3.06111508595209,27.6514131736882
46,5.66728503463099,1.5555442324038,2.88509350148391,27.4477853663326
46.5,5.609373763515,1.52848570231263,2.71255184896922,27.2487761870023
47,5.55242273621636,1.50217633270289,2.54344669632882,27.0544301842285
47.5,5.49640794294858,1.47659743077753,2.37773104265022,26.864771430801
48,5.44130713966571,1.45173012310561,2.21535452521297,26.6798047940149
48.5,5.38709960586894,1.42755539278935,2.05626364505064,26.4995173141799
49,5.3337659301178,1.40405411550572,1.90040199738069,26.3238794859284
49.5,5.28128781003783,1.38120709442224,1.74771050484805,26.1528465045412
50,5.22964785369926,1.35899509398743,1.5981276545937,25.9863595409417
50.5,5.17882941598164,1.33739887259549,1.45158972799547,25.824346877855
51,5.12881643352159,1.3163992141255,1.30803102946258,25.6667250853746
51.5,5.07959328949897,1.29597695835494,1.16738410652464,25.5134000793747
52,5.031144694462,1.27611303024776,1.02957996184712,25.3642681287308
52.5,4.98345557567627,1.25678846811669,0.894548260257151,25.2192168472604
53,4.93651098796293,1.23798445066013,0.762217525467985,25.0781261032094
53.5,4.89029603999273,1.21968232287336,0.632515329447607,24.9408688737619
54,4.84479582854033,1.20186362083413,0.505368474409789,24.8073120801921
54.5,4.79999538774731,1.1845100953628,0.380703168354207,24.6773173654799
55,4.75587965230493,1.16760373455674,0.258445191730591,24.5507418168343
55.5,4.71243342436918,1.15112678519924,0.13852005989456,24.4274386826661
56,4.66964135178693,1.13506177304282,0.0208531796657319,24.3072580426004
56.5,4.62781057366296,1.11939152196692,-0.0947271468785935,24.1883608706332
57,4.58132436518669,1.10409917200999,-0.208097400711182,24.1
57.5,4.51937010902949,1.08916819627611,-0.308684610696464,24.1
58,4.45884820214051,1.07458241671586,-0.386295694906632,24.1
58.5,4.39969302399055,1.06032601878172,-0.462638737745923,24.1
59,4.34184051849734,1.04638356495786,-0.537764810847364,24.1
59.5,4.28522824549493,1.03274000716428,-0.611705796787389,24.1
60,4.22979542753293,1.01938069803544,-0.684489534153141,24.1
60.5,4.17548299200546,1.00629140107332,-0.756142499952471,24.1
61,4.1222336086089,0.993458299674746,-0.82669029930805,24.1
61.5,4.0699917221302,0.980868005033379,-0.896157772152023,24.1
62,4.01870358056351,0.968507562915805,-0.964569033976151,24.1
62.5,3.9683172585574,0.956364459312335,-1.03194750291742,24.1
63,3.91878267619106,0.944426624962046,-1.09831592517814,24.1
63.5,3.8700516130799,0.932682438752256,-1.16369639754848,24.1
64,3.82207771781104,0.92112072999246,-1.22811039049623,24.1
64.5,3.77481651270809,0.909730779562651,-1.29157877004373,24.1
65,3.72822539392551,0.898502319936048,-1.35412181725224,24.1
65.5,3.68226362687241,0.887425534076252,-1.41575924931368,24.1
66,3.63689233696611,0.876491053208833,-1.47651023796644,24.1
66.5,3.59207449571478,0.865689953467262,-1.53639342770252,24.1
67,3.5477749021299,0.855013751413305,-1.59542695397953,24.1
67.5,3.50396015946856,0.844454398431923,-1.65362845947123,24.1
68,3.46059864730426,0.834004274000328,-1.71101511064978,24.1
68.5,3.41766048892842,0.823656177831748,-1.767603613346,24.1
69,3.37511751408063,0.813403320893431,-1.82341022788236,24.1
69.5,3.33294321700863,0.803239315299081,-1.87845078338007,24.1
70,3.29111270985787,0.793158163075747,-1.93274069174377,24.1
70.5,3.24960267139044,0.783154243805095,-1.9862949608907,24.1
71,3.20839129103387,0.773222301139162,-2.03912820771449,24.1
71.5,3.16745820825879,0.763357428190369,-2.09125467057175,24.1
72,3.12678444728694,0.753555051796154,-2.14268822097868,24.1
72.5,3.08635234712787,0.743810915657818,-2.19344237507496,24.1
73,3.04614548694573,0.734121062353922,-2.24353030486509,24.1
73.5,3.00614860675577,0.72448181422814,-2.29296484854608,24.1
74,2.96634752344874,0.714889753151145,-2.34175852077808,24.1
74.5,2.92672904214775,0.705341699157608,-2.38992352264032,24.1
75,2.88728086289183,0.695834687956931,-2.43747175080543,24.1
75.5,2.84799148265019,0.686365947318697,-2.4844148067303,24.1
76,2.80885009266615,0.676932872332541,-2.53076400528815,24.1
76.5,2.76984647113041,0.667532999542428,-2.57653038299655,24.1
77,2.73097087118385,0.658163979955309,-2.62172470615888,24.1
